id,name,category,address,lat,lng,notes
c1,Flat Track Coffee,coffee,"1619 E 6th St, Austin, TX 78702",,,Horchata + a shot
c2,Cherrywood Coffeehouse,coffee,"1400 E 38 1/2 St, Austin, TX 78722",,,"East side, lots of indoor seating"
c3,Noble Joes,coffee,"S Pleasant Valley Rd, Austin, TX 78741",,,"Food truck, riverside + south"
c4,Strange Love Coffee,coffee,"E 6th St, Austin, TX 78702",,,East side
c5,Double Trouble,coffee,"1210 E 6th St, Austin, TX 78702",,,"Coffee + food, nearby thrifting"
c6,Merit Coffee,coffee,"1209 S Lamar Blvd, Austin, TX 78704",,,S Lamar
c7,Opa Coffee,coffee,"2050 S Lamar Blvd, Austin, TX 78704",,,"Coffee + Greek food, S Lamar"
c8,Mozart's Coffee,coffee,"3825 Lake Austin Blvd, Austin, TX 78703",,,"Sit on the water, annual Christmas show"
c9,Ghoul Coffee,coffee,"E 7th St, Austin, TX 78702",,,"Food truck, east side"
c10,El Tigre Coffee,coffee,"E 7th St, Austin, TX 78702",,,"Food truck, east side"
c11,Civil Goat Coffee,coffee,"5310 Airport Blvd, Austin, TX 78751",,,
b1,Mama Dearest,drinks,"E 6th St, Austin, TX 78702",,,"Bar, east side"
b2,Frazier's,drinks,"E Riverside Dr, Austin, TX 78741",,,"Divey bar, riverside"
b3,Busty's,drinks,"E 6th St, Austin, TX 78702",,,Great sandwiches + ambience
b4,Whisler's,drinks,"1816 E 6th St, Austin, TX 78702",,,Bar on east 6th — tiny bar up the iron stairs outside
b5,Side Bar,drinks,"602 E 7th St, Austin, TX 78701",,,"Cheap drinks, divey"
b6,Barbs / Swan Dive,drinks,"615 Red River St, Austin, TX 78701",,,Dance club
b7,Dirty Bills,drinks,"W 6th St, Austin, TX 78703",,,Good when it's not a weekend
b8,Workhorse,drinks,"Red River St, Austin, TX 78701",,,
b9,Cavalier,drinks,"Red River St, Austin, TX 78701",,,
b10,Egos,drinks,"E 6th St, Austin, TX 78702",,,Also karaoke night
b11,Shangri-La,drinks,"1016 E 6th St, Austin, TX 78702",,,East side
b12,Techo,drinks,"E 6th St, Austin, TX 78702",,,
b13,Tweety's,drinks,"E 6th St, Austin, TX 78702",,,
b14,Kinda Tropical,drinks,"E 6th St, Austin, TX 78702",,,
b15,Kitty Cohen's,drinks,"E 6th St, Austin, TX 78702",,,
b16,Butterfly Bar,drinks,"E Cesar Chavez St, Austin, TX 78702",,,
b17,West China Tea House,drinks,"E 7th St, Austin, TX 78702",,,
f1,Kome,food,"5301 Airport Blvd, Austin, TX 78751",,,$ — Homestyle Japanese (Goldie's fav)
f2,Brunch Brunch Baby,food,"E Riverside Dr, Austin, TX 78741",,,"$ — Food truck, riverside"
f3,Kemuri Tatsu-Ya,food,"2713 E 2nd St, Austin, TX 78702",,,$$ — Japanese izakaya
f4,Patrizi's,food,"2307 Manor Rd, Austin, TX 78722",,,$ — Fresh made pasta
f5,De Nada,food,"E 6th St, Austin, TX 78702",,,$ — Mexican + margs
f6,Uchi,food,"801 S Lamar Blvd, Austin, TX 78704",,,$$ — Expensive and delicious sushi
f7,Loro,food,"2115 S Lamar Blvd, Austin, TX 78704",,,$ — Japanese BBQ fusion
f8,OG Chuy's,food,"1728 Barton Springs Rd, Austin, TX 78704",,,"$ — Tex mex, get the creamy jalapeno sauce"
f9,Homeslice Pizza,food,"1415 S Congress Ave, Austin, TX 78704",,,$ — Pizza on S Congress
f10,Ramen Tatsu-Ya,food,"1234 S Lamar Blvd, Austin, TX 78704",,,$ — Amazing ramen
f11,Tiki Tatsu-Ya,food,"1300 E 6th St, Austin, TX 78702",,,"$ — Immersive tiki drink bar, sister to Ramen Tatsu-Ya"
f12,Bambino's Pizza,food,"E 6th St, Austin, TX 78702",,,"$ — Pizza, east side"
f13,Juiceland,food,"Red River St, Austin, TX 78701",,,$ — Smoothies!
f14,Foreign & Domestic,food,"306 E 53rd St, Austin, TX 78751",,,"$$ — Oysters on Tuesdays, great menu"
f15,Clark's Oyster Bar,food,"1200 W 6th St, Austin, TX 78703",,,$$ — Oysters
f16,Jew Boy Sliders,food,"E 6th St, Austin, TX 78702",,,$ — BEST burger/sliders
f17,Granny's Tacos,food,"E Cesar Chavez St, Austin, TX 78702",,,"$ — Food truck, east side"
f18,Las Trancas,food,"E 6th St, Austin, TX 78702",,,"$ — Food truck, east side"
f19,Nervous Charlie's Bagels,food,"N Lamar Blvd, Austin, TX 78752",,,$ — N Lamar
f20,Rockstar Bagels,food,"Springdale Rd, Austin, TX 78723",,,$ — Far east side
s1,Rock n Roll Rentals,shopping,"N Loop Blvd, Austin, TX 78751",,,Cheap rental + monthly synth of the month
s2,Switched On,shopping,"N Loop Blvd, Austin, TX 78751",30.318,-97.724,Buy synths & gear
s3,Guitar Center,shopping,"Burnet Rd, Austin, TX 78758",,,
s4,End of an Ear,shopping,"S Congress Ave, Austin, TX 78704",,,"Record store, S Congress"
s5,Breakaway Records,shopping,"N Loop Blvd, Austin, TX 78751",,,North Loop
s6,Antone's Records,shopping,"Congress Ave, Austin, TX 78701",,,
s7,Waterloo Records,shopping,"600 N Lamar Blvd, Austin, TX 78703",,,
s8,Sunshine Records,shopping,"E 6th St, Austin, TX 78702",,,East side
s9,Exploded Drawing Records,shopping,"E 6th St, Austin, TX 78702",,,East side
s10,Drinks Records,shopping,"E 6th St, Austin, TX 78702",,,East side
s11,BookPeople,shopping,"603 N Lamar Blvd, Austin, TX 78703",,,Indie bookstore
s12,Lighthouse Books,shopping,"E 6th St, Austin, TX 78702",,,East side
s13,Austin Books & Comics,shopping,"N Loop Blvd, Austin, TX 78751",,,North Loop
s14,Kinokuniya Bookstore,shopping,"The Domain, Austin, TX 78758",,,The Domain area
s15,Monkeywrench Books,shopping,"Red River St, Austin, TX 78701",,,
s16,Firstlight Books,shopping,"E 6th St, Austin, TX 78702",,,East side
s17,Livra Books,shopping,"E 6th St, Austin, TX 78702",,,
s18,Majestic Books,shopping,"Congress Ave, Austin, TX 78701",,,
s19,Half Price Books,shopping,"N Lamar Blvd, Austin, TX 78752",,,N Lamar location
m1,Parish,music,"Red River St, Austin, TX 78701",,,
m2,Mohawk,music,"912 Red River St, Austin, TX 78701",,,Live music + bar
m3,Elysium,music,"Red River St, Austin, TX 78701",,,
